SampleID,CqSAMP_B2M,CqSAMP_TEL,RTL_resp_CAL,RTL_No_CAL,Plate,ExtrMethod
BW543,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BW543,25.68689959,12.93366211,0.949316476,1.141245706,20150417_Soay_PGcomparison4,PG
BW543,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW543,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW543,25.8300408,13.47943236,0.917911984,0.884011272,20150420_Soay_SCcomparison5,SC
BW543,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW543,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW543,25.76294095,13.52755264,0.911526836,0.822644467,20150420_Soay_SCcomparison6,SC
BW543,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW543,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW543,26.10393575,13.29668043,0.994891403,1.175783139,20150421_Soay_SCcomparison7,SC
BW543,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BW543,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BW543,25.8837838,13.70204412,0.900380048,0.793174272,20150421_Soay_SCcomparison8,SC
BW543,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BW543,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BW063,25.94061427,12.9308898,1.213203254,1.344881908,20150416_Soay_PGcomparison1,PG
BW063,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BW063,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BW063,26.20855508,13.04891355,1.08656247,1.474730158,20150416_Soay_PGcomparison2,PG
BW063,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BW063,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BW063,26.04477585,12.90544959,1.149662461,1.45789996,20150417_Soay_PGcomparison3,PG
BW063,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BW063,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BW063,26.15984997,13.11706764,1.137799176,1.367835129,20150417_Soay_PGcomparison4,PG
BW063,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW063,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW063,25.95007635,13.12424282,1.230885632,1.185426047,20150420_Soay_SCcomparison5,SC
BW063,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW063,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW063,26.00480859,13.1459324,1.34187468,1.211029374,20150420_Soay_SCcomparison6,SC
BW063,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW063,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW063,26.3055781,12.9075855,1.443911244,1.706444027,20150421_Soay_SCcomparison7,SC
BW063,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BW063,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BW063,26.01889639,13.2899904,1.270094829,1.118868131,20150421_Soay_SCcomparison8,SC
BW063,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BW063,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BW026,26.17375461,13.6783735,0.867496965,0.961653349,20150416_Soay_PGcomparison1,PG
BW026,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BW026,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BW026,26.46945728,13.73680627,0.820682559,1.113866302,20150416_Soay_PGcomparison2,PG
BW026,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BW026,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BW026,26.3201298,13.5563322,0.900148352,1.141488295,20150417_Soay_PGcomparison3,PG
BW026,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BW026,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BW026,26.27193352,14.13270115,0.637229052,0.766061623,20150417_Soay_PGcomparison4,PG
BW026,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW026,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BW026,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW026,25.68011629,13.06113931,1.0810575,1.041131432,20150420_Soay_SCcomparison5,SC
BW026,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BW026,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW026,25.70540638,13.57782015,0.852483041,0.76935799,20150420_Soay_SCcomparison6,SC
BW026,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BW026,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BW026,25.91891076,13.46256954,0.797534501,0.942542681,20150421_Soay_SCcomparison7,SC
BW026,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BW026,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BW026,25.73329465,13.47800348,0.943356613,0.831033733,20150421_Soay_SCcomparison8,SC
BW026,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR036,25.44521338,12.76383653,0.988229611,1.095490069,20150416_Soay_PGcomparison1,PG
BR036,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR036,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR036,25.75358401,13.0164425,0.833698812,1.131532534,20150416_Soay_PGcomparison2,PG
BR036,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR036,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR036,25.5787421,12.84164222,0.892785712,1.132151645,20150417_Soay_PGcomparison3,PG
BR036,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR036,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR036,25.68781871,13.176076,0.813270848,0.977694887,20150417_Soay_PGcomparison4,PG
BR036,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR036,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR036,25.67872495,13.16918224,1.010687227,0.973360101,20150420_Soay_SCcomparison5,SC
BR036,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR036,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR036,25.56933508,13.26937244,0.94737226,0.854994628,20150420_Soay_SCcomparison6,SC
BR036,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR036,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR036,25.87155907,13.11747281,0.962574914,1.137590837,20150421_Soay_SCcomparison7,SC
BR036,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR036,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
