SampleID,Cq_SAMP_B2M,Cq_SAMP_Tel,RTL_PU_CAL,RTL_resp_CAL,RTL_No_CAL,RTL_NO_CAL_Corrected,Plate,ExtrMethod
3,27.10710283,15.66698059,0.804407051,1.059124565,0.000641334,0.89455726,SpinColumn 1,SC
3,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
3,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
3,27.05042208,16.07155791,0.84079088,1.032599514,0.000765791,0.678717972,SpinColumn 2,SC
3,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
3,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
3,27.22029255,15.99859116,0.850374004,0.982,0.000669303,0.788512914,SpinColumn 3,SC
3,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
3,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
3,27.36791964,16.35710719,0.822984958,1.047007317,0.000765378,0.698139302,SpinColumn 4,SC
3,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
3,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
3,26.94204147,15.55655561,0.658805055,0.942596896,0.000728353,0.863404409,PlateExtr 1,SP
3,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
3,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
3,26.90683671,15.97232372,0.737213277,0.966,0.000869312,0.658817424,PlateExtr 2,SP
3,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
3,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
3,27.16810775,15.82582397,0.650666799,0.908,0.000740977,0.840654965,PlateExtr 3,SP
3,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
3,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
3,27.19153098,16.48846926,0.663347994,0.781,0.000936111,0.576597454,PlateExtr 4,SP
3,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
3,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
4,26.0765526,13.74549261,1.223428632,1.223428632,0.000455467,1.563575745,Puregene 1,PU
4,NA,NA,NA,NA,NA,NA,Puregene 1,PU
4,NA,NA,NA,NA,NA,NA,Puregene 1,PU
4,26.06755236,14.1309732,1.234518893,1.234518893,0.000530964,1.215444638,Puregene 2,PU
4,NA,NA,NA,NA,NA,NA,Puregene 2,PU
4,NA,NA,NA,NA,NA,NA,Puregene 2,PU
4,26.12899765,13.87544716,1.489235759,1.489235759,0.000447664,1.484984386,Puregene 3,PU
4,NA,NA,NA,NA,NA,NA,Puregene 3,PU
