SampleID,ExtractionDate,ExtractionMethod,Volume,Nanodrop_1,Nanodrop_2,Nanodrop_3,A260A280_1,A260A280_2,A260A280_3,A260A230_1,A260A230_2,A260A230_3,QC_NanoDrop,QUBIT_FLUOstar,GEL_NAME,GEL_SCORE,REPURIFIED
40,13/11/2014,PG,150,530.2,534.3,NA,1.85,1.87,NA,1.98,1.97,NA,PASS,593.5,20141219_ExtrComp_Puregene_GSs,1,TRUE
41,13/11/2014,PG,400,117.8,118.1,NA,1.91,1.89,NA,1.96,1.99,NA,PASS,220,20141219_ExtrComp_Puregene_GSs,1,NA
42,13/11/2014,PG,100,696.5,659.2,NA,1.9,1.88,NA,1.92,1.89,NA,PASS,545,20141219_ExtrComp_Puregene_GSs,1,TRUE
43,13/11/2014,PG,100,948,483.1,NA,1.89,1.85,NA,1.87,1.87,NA,PASS,530,20141219_ExtrComp_Puregene_GSs,1,TRUE
44,13/11/2014,PG,150,319.5,321.9,NA,1.87,1.87,NA,1.93,1.89,NA,PASS,384,20141219_ExtrComp_Puregene_GSs,1,NA
45,13/11/2014,PG,100,463.9,458.1,NA,1.86,1.86,NA,2.31,2.33,NA,PASS,396,20141219_ExtrComp_Puregene_GSs,1,TRUE
46,13/11/2014,PG,100,682.1,971.9,NA,1.91,1.89,NA,1.92,1.91,NA,PASS,555,20141219_ExtrComp_Puregene_GSs,1,TRUE
47,13/11/2014,PG,300,260.6,197.5,200.8,1.85,1.85,1.86,1.82,1.88,1.89,PASS,242,20141219_ExtrComp_Puregene_GSs,1,NA
48,13/11/2014,PG,300,240,234.2,NA,1.89,1.86,NA,2,2,NA,PASS,296,20141219_ExtrComp_Puregene_GSs,1,NA
49,13/11/2014,PG,100,368.8,369,NA,1.87,1.86,NA,2.35,2.37,NA,PASS,314,20141219_ExtrComp_Puregene_GSs,1,TRUE
50,13/11/2014,PG,100,155.3,150.8,NA,1.87,1.9,NA,1.92,1.99,NA,PASS,139.5,20141219_ExtrComp_Puregene_GSs,1,NA
51,13/11/2014,PG,50,43.4,41.6,NA,1.77,1.76,NA,1.01,1.24,NA,FAIL,NA,NA,NA,NA
52,13/11/2014,PG,200,343.4,347.8,NA,1.87,1.87,NA,1.9,1.93,NA,PASS,376,20141219_ExtrComp_Puregene_GSs,1,NA
53,13/11/2014,PG,300,142.1,142.8,NA,1.87,1.88,NA,2.38,2.26,NA,PASS,117,20141219_ExtrComp_Puregene_GSs,1,TRUE
54,13/11/2014,PG,100,418,420.2,NA,1.87,1.87,NA,2.36,2.37,NA,PASS,344,20141219_ExtrComp_Puregene_GSs,1,TRUE
55,13/11/2014,PG,300,204.7,203.1,NA,1.88,1.89,NA,1.95,1.95,NA,PASS,240,20141219_ExtrComp_Puregene_GSs,1,NA
56,13/11/2014,PG,300,196.6,197.8,NA,1.87,1.88,NA,1.96,1.93,NA,PASS,212,20141219_ExtrComp_Puregene_GSs,1,NA
57,13/11/2014,PG,50,11.2,11.1,NA,2.07,2.3,NA,0.65,0.66,NA,FAIL,NA,NA,NA,NA
58,13/11/2014,PG,100,452.8,450.4,NA,1.87,1.86,NA,2.35,2.34,NA,PASS,372,20141219_ExtrComp_Puregene_GSs,1,TRUE
59,13/11/2014,PG,50,101.6,102.4,NA,1.79,1.79,NA,1.29,1.28,NA,FAIL,NA,NA,NA,NA
60,13/11/2014,PG,400,10.5,8.2,NA,1.37,1.48,NA,0.31,0.3,NA,FAIL,NA,NA,NA,NA
61,14/11/2014,PG,50,8.2,8.1,NA,2.04,1.84,NA,0.82,0.83,NA,FAIL,NA,NA,NA,NA
62,14/11/2014,PG,200,592.6,94.9,304.2,1.8,1.87,1.84,1.99,1.85,1.84,PASS,254,20141219_ExtrComp_Puregene_GSs,1,NA
63,14/11/2014,PG,150,204.6,367.3,355,1.9,1.87,1.88,2.1,2.15,2.16,PASS,266,20141219_ExtrComp_Puregene_GSs,1,NA
64,14/11/2014,PG,200,542.1,218.7,433.4,1.85,1.89,1.87,2.1,2.07,2.08,PASS,326,20141219_ExtrComp_Puregene_GSs,1,NA
65,14/11/2014,PG,300,499.7,429.1,NA,1.86,1.86,NA,2.06,2.1,NA,PASS,453,20141219_ExtrComp_Puregene_GSs,1,NA
66,14/11/2014,PG,300,376.3,279.4,NA,1.86,1.85,NA,2.05,1.93,NA,PASS,364.25,20141219_ExtrComp_Puregene_GSs,1,NA
67,14/11/2014,PG,200,407,330.8,NA,1.82,1.88,NA,1.76,2.06,NA,PASS,362,20141219_ExtrComp_Puregene_GSs,1,NA
68,14/11/2014,PG,300,186.1,229.5,NA,1.87,1.87,NA,2.02,2.03,NA,PASS,258,20141219_ExtrComp_Puregene_GSs,1,NA
69,14/11/2014,PG,300,545.8,528.2,NA,1.86,1.87,NA,2.17,2.16,NA,PASS,643,20141219_ExtrComp_Puregene_GSs,1,NA
70,14/11/2014,PG,300,565.5,499.9,NA,1.84,1.85,NA,2,2.02,NA,PASS,254,20141219_ExtrComp_Puregene_GSs,1,NA
71,14/11/2014,PG,200,262.7,320.1,NA,1.86,1.86,NA,1.96,2,NA,PASS,256,20141219_ExtrComp_Puregene_GSs,1,NA
72,14/11/2014,PG,100,426,413.8,NA,1.86,1.87,NA,2.32,2.34,NA,PASS,398,20141219_ExtrComp_Puregene_GSs,1,TRUE
