SampleID,ExtractionDate,ExtractionMethod,Volume,Nanodrop_1,Nanodrop_2,Nanodrop_3,A260A280_1,A260A280_2,A260A280_3,A260A230_1,A260A230_2,A260A230_3,QUBIT,GelName,GelScore
BR036,10/03/2015,PG,200,185,191,NA,1.85,1.85,NA,2.23,2.23,NA,168,20150331_SC-PGcomp1,1
BR057,10/03/2015,PG,450,217,38,33,1.86,1.73,1.84,2.37,1.96,2.01,153,20150331_SC-PGcomp1,1
BR501,10/03/2015,PG,350,404,133,NA,1.86,1.86,NA,2.15,2.17,NA,275,20150331_SC-PGcomp2,1
BR184,10/03/2015,PG,400,243,1255,198,1.86,1.86,1.86,2.28,2.28,2.26,268,20150331_SC-PGcomp2,1
BR568,10/03/2015,PG,350,443,158,NA,1.84,1.86,NA,2.33,2.24,NA,186,20150331_SC-PGcomp2,1
BR572,10/03/2015,PG,400,960,70,NA,1.87,1.82,NA,2.3,2.18,NA,117,20150331_SC-PGcomp2,1
BR578,10/03/2015,PG,300,922,115,NA,1.85,1.86,NA,2.28,2.24,NA,367,20150331_SC-PGcomp2,1
BR583,10/03/2015,PG,400,632,123,NA,1.86,1.84,NA,2.23,2.18,NA,156,20150331_SC-PGcomp2,1
BR589,10/03/2015,PG,200,137,141,140,1.81,1.96,1.95,2.58,1.84,2.17,172,20150331_SC-PGcomp2,1
BR594,10/03/2015,PG,200,1152,109,104,1.87,1.98,1.78,2.3,2.93,2.84,362,20150331_SC-PGcomp2,1
BR598,12/03/2015,PG,250,447,273,NA,1.85,1.87,NA,2.35,2.38,NA,330,2015_SC-PGcomp3,1
BR599,12/03/2015,PG,250,515,296,NA,1.9,1.87,NA,2.3,2.35,NA,356,2015_SC-PGcomp3,1
BO039,12/03/2015,PG,250,489,195,NA,1.84,1.85,NA,2.33,2.31,NA,314,2015_SC-PGcomp3,1
BO204,12/03/2015,PG,200,301,300,NA,1.86,1.86,NA,2.34,2.35,NA,360,2015_SC-PGcomp3,1
BO535,12/03/2015,PG,200,514,240,NA,1.85,1.87,NA,2.31,2.29,NA,334,2015_SC-PGcomp3,1
BO540,12/03/2015,PG,350,431,130,NA,1.84,1.9,NA,2.35,2.3,NA,261,2015_SC-PGcomp3,1
BO543,12/03/2015,PG,250,257,258,NA,1.87,1.86,NA,2.34,2.3,NA,350,2015_SC-PGcomp3,1
BO546,12/03/2015,PG,250,249,257,NA,1.92,1.85,NA,2.26,2.34,NA,380,2015_SC-PGcomp3,1
BO550,12/03/2015,PG,250,281,133,NA,1.83,1.86,NA,2.44,2.31,NA,347,2015_SC-PGcomp3,1
BO532,12/03/2015,PG,200,217,216,NA,1.87,1.87,NA,2.35,2.34,NA,298,2015_SC-PGcomp3,1
BY022,12/03/2015,PG,250,477,241,NA,1.84,1.87,NA,2.35,2.34,NA,324,20150331_SC-PGcomp4,1
BY596,12/03/2015,PG,250,253,254,NA,1.86,1.88,NA,2.33,2.35,NA,328,20150331_SC-PGcomp4,1
AG575,12/03/2015,PG,300,259,128,492,1.84,1.89,1.83,2.27,2.19,2.3,276,20150331_SC-PGcomp4,1
AG579,12/03/2015,PG,300,137,141,NA,1.87,1.89,NA,2.27,2.35,NA,272,20150331_SC-PGcomp4,1
AW106,12/03/2015,PG,250,726,162,NA,1.86,1.89,NA,2.28,2.31,NA,433,20150331_SC-PGcomp4,1
AW155,12/03/2015,PG,400,709,708,NA,1.86,1.86,NA,2.25,2.18,NA,228,20150331_SC-PGcomp4,1
AW599,12/03/2015,PG,250,395,221,NA,1.84,1.87,NA,2.34,2.33,NA,398,20150331_SC-PGcomp4,1
AW600,12/03/2015,PG,250,288,252,NA,1.86,1.86,NA,2.35,2.35,NA,276,20150331_SC-PGcomp4,1
AO536,12/03/2015,PG,250,215,217,NA,1.88,1.87,NA,2.34,2.32,NA,272,20150331_SC-PGcomp4,1
AY573,12/03/2015,PG,250,324,440,NA,1.86,1.84,NA,2.37,2.69,NA,356,20150331_SC-PGcomp4,1
